Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Albertacos,California ,6/8/16,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,0,5.7,3.5,,,20.5,21.5,0.75,3.5,3,3,4,1.5,4,4,4,4,3.7,Yes,Scott,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albertacos,Carne asada,6/8/16,,,,3.5,3.9,0,5.25,4,,,21,21,0.74,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2,Yes,Emily,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,5/5/16,,,,,,0,4.59,4,,,17,21,0.6,4,4,5,5,5,5,5,5,4,4.8,Yes,Chuck K,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burrito Box,Steak with guacamole,12/16/17,,,,,,0,11.5,3.5,,,15,25,0.75,2,2,4,3.5,3,4.5,3.5,4,2,3.5,,Scott,Maybe a little better than chipotle. Or at least more authentic.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burrito Factory,Steak everything ,7/13/17,Austin,2025 Guadalupe St,https://www.yelp.com/biz/burrito-factory-austin,4.5,4.8,0,7.35,3.5,,,17,23,0.72,3.2,3,3.5,3.5,3,3.3,3,3.8,2,3.5,,Scott,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burros and Fries,California,8/12/16,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,3.5,4.1,0,6.89,4,,,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Yes,Scott,good fries,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burros and Fries,Carne asada,8/12/16,,,,3.5,4.1,0,6.89,5,,,18.5,21,0.65,3,5,4.5,4.5,3,4,4.5,4,4.5,4,Yes,Brent,very little guac,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burros and Fries,Shrimp california,6/4/17,,,,3.5,4.1,0,6.99,4,580,0.865671642,21,20,0.67,3,4,4,2.5,2.5,3,3,3,5,3,,Emily,too many fries. Not great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burros and Fries,California,6/4/17,,,,3.5,4.1,0,7.19,3.5,635,0.783950617,21,22,0.81,3.5,4.5,3.5,3.5,3,3.5,4,3.5,5,3.8,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caliente Mexican Food,carne asada ,7/6/17,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,0,5.56,2.5,420,0.617647059,21.5,20,0.68,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
